Designator,Mid X,Mid Y,Rotation,Layer
A1,69.051,-21.689,0.0,top
BT1,123.026,-85.062,90.0,top
C1,73.748349,-25.245,0.0,top
C10,59.272,-52.042,0.0,top
C100,27.903,-70.33,0.0,top
C101,29.554,-63.218,180.0,top
C102,23.712,-58.138,0.0,top
C103,23.712,-56.614,0.0,top
C104,26.6076,-61.0336,270.0,top
C105,20.0036,-58.138,180.0,top
C106,54.7,-55.979,0.0,top
C107,62.701,-53.693,90.0,top
C108,69.94,-53.693,90.0,top
C109,73.748349,-34.262,0.0,top
C11,69.813,-63.726,270.0,top
C110,57.113,-118.59,0.0,top
C12,65.114,-53.693,90.0,top
C13,67.527,-53.693,90.0,top
C14,83.148,-62.329,270.0,top
C15,106.516,-100.81,180.0,top
C16,110.961,-98.27,0.0,top
C17,110.961,-100.81,0.0,top
C18,103.341,-93.952,270.0,top
C19,103.341,-105.128,90.0,top
C2,97.372,-20.292,180.0,top
C20,100.039,-94.46,270.0,top
C21,100.039,-104.62,90.0,top
C22,98.642,-98.016,270.0,top
C23,98.642,-100.302,270.0,top
C24,123.026,-107.16,90.0,top
C25,120.486,-107.16,90.0,top
C26,96.356,-42.644,90.0,top
C27,102.96,-42.644,90.0,top
C28,99.658,-42.644,90.0,top
C29,93.054,-42.6185,90.0,top
C3,93.054,-20.292,0.0,top
C30,29.554,-61.694,180.0,top
C31,61.685,-28.801,90.0,top
C32,98.007,-45.819,90.0,top
C33,104.611,-45.819,90.0,top
C34,101.309,-45.819,90.0,top
C35,94.705,-45.819,90.0,top
C36,56.222,-30.96,180.0,top
C37,106.389,-42.644,90.0,top
C38,109.691,-42.616921,90.0,top
C39,108.04,-45.819,90.0,top
C4,61.05,-46.835,180.0,top
C40,111.342,-45.819,90.0,top
C41,115.279,-45.438,90.0,top
C42,88.863,-75.664,135.0,top
C43,109.564,-63.472,0.0,top
C44,103.087,-68.552,180.0,top
C45,103.087,-67.536,180.0,top
C46,103.087,-66.52,180.0,top
C47,103.087,-65.504,180.0,top
C48,95.467,-96.492,0.0,top
C49,103.341,-87.094,180.0,top
C5,29.554,-59.916,180.0,top
C50,103.341,-86.078,180.0,top
C51,103.341,-85.062,180.0,top
C52,103.341,-84.046,180.0,top
C53,93.435,-82.522,90.0,top
C54,105.881,-83.03,180.0,top
C55,105.881,-82.014,180.0,top
C56,105.881,-80.998,180.0,top
C57,105.881,-79.982,180.0,top
C58,105.881,-75.156,0.0,top
C59,103.087,-72.87,180.0,top
C6,56.606651,-47.851,180.0,top
C60,103.087,-71.854,180.0,top
C61,103.087,-70.838,180.0,top
C62,103.087,-69.822,180.0,top
C63,67.527,-71.092,0.0,top
C64,74.004,-75.156,135.0,top
C65,83.148,-69.73399,0.0,top
C66,80.735,-92.682,225.0,top
C67,82.259,-84.046,135.0,top
C68,59.907,-75.41,225.0,top
C69,54.7,-78.458,315.0,top
C7,54.7,-58.392,0.0,top
C70,77.433,-78.966,135.0,top
C71,54.573,-93.444,270.0,top
C72,82.767,-93.19,225.0,top
C73,64.733,-102.588,180.0,top
C74,59.018,-98.524,315.0,top
C75,50.382,-84.046,270.0,top
C76,76.798,-101.318,315.0,top
C77,78.322,-102.842,135.0,top
C78,75.274,-97.508,45.0,top
C79,67.527,-69.568,180.0,top
C8,66.003,-64.234,90.0,top
C80,51.525,-81.506,135.0,top
C81,83.783,-98.524,180.0,top
C82,71.21,-103.35,315.0,top
C83,83.783,-89.888,45.0,top
C84,84.926,-91.031,45.0,top
C85,32.3735,-114.018,0.0,top
C86,84.926,-62.329,270.0,top
C87,63.717,-22.451,270.0,top
C88,56.732,-19.086,0.0,top
C89,53.557,-19.086,0.0,top
C9,63.717,-29.563,90.0,top
C90,66.257,-29.563,90.0,top
C91,66.257,-22.451,270.0,top
C92,56.224,-61.186,90.0,top
C93,54.7,-53.566,0.0,top
C94,27.649,-84.554,0.0,top
C95,27.903,-77.442,0.0,top
C96,23.712,-91.666,180.0,top
C97,27.6745,-91.666,0.0,top
C98,16.219,-74.902,180.0,top
C99,16.219,-73.378,180.0,top
D1,130.011,-18.228,90.0,top
D10,115.787,-100.175,0.0,top
D11,72.099,-101.445,315.0,top
D12,56.351,-105.89,180.0,top
D13,61.939,-105.89,180.0,top
D14,68.035,-105.89,180.0,top
D15,74.131,-105.89,180.0,top
D16,80.227,-105.89,180.0,top
D17,32.348,-106.779,180.0,top
D18,84.037,-58.646,270.0,top
D19,76.544,-47.216,0.0,top
D2,108.802,-27.785,0.0,top
D20,67.527,-45.565,0.0,top
D21,85.273,-44.168,0.0,top
D22,85.273,-45.946,0.0,top
D23,85.273,-47.724,0.0,top
D24,85.273,-49.502,0.0,top
D3,108.802,-35.151,0.0,top
D4,108.802,-31.468,0.0,top
D5,77.306,-54.074,0.0,top
D6,67.527,-49.248,0.0,top
D7,61.431,-58.011,180.0,top
D8,86.181,-23.483,270.0,top
D9,89.371,-23.483,270.0,top
F3,116.676,-18.26,90.0,top
F4,114.136,-18.26,90.0,top
F5,126.836,-18.26,90.0,top
F6,124.296,-18.26,90.0,top
F7,121.756,-18.26,90.0,top
F8,119.216,-18.26,90.0,top
FB1,87.593,-92.301,135.0,top
J10,45.683,-100.048,180.0,top
J11,84.418,-103.35,90.0,top
J12,71.845,-118.326,180.0,top
J13,128.995,-37.325,0.0,top
J14,22.168,-107.9795,0.0,top
J15,67.5,-7.465,0.0,top
J16,59.653,-33.119,0.0,top
J18,82.894,-120.876,180.0,top
J4,128.995,-29.167,180.0,top
J5,103.087,-63.091,270.0,top
J6,90.514,-31.087,0.0,top
J7,123.534,-117.193,90.0,top
J8,56.229,-115.787,90.0,top
J9,86.831,-38.707,180.0,top
L1,61.558,-49.502,180.0,top
L2,68.162,-59.281,270.0,top
Q1,65.235,-10.908,90.0,top
Q2,59.907,-15.974,270.0,top
R1,72.734,-99.54,315.0,top
R10,106.008,-99.54,0.0,top
R100,45.048,-89.634,90.0,top
R101,59.145,-105.89,180.0,top
R102,64.733,-105.89,180.0,top
R103,70.829,-105.89,180.0,top
R104,76.925,-105.89,180.0,top
R105,83.021,-105.89,180.0,top
R106,84.926,-54.963,270.0,top
R107,83.656,-54.455,90.0,top
R108,32.1195,-112.748,0.0,top
R109,53.684,-70.076,90.0,top
R11,106.008,-97.508,0.0,top
R110,123.28,-67.026,270.0,top
R111,125.058,-67.026,270.0,top
R112,126.836,-67.026,270.0,top
R113,117.946,-67.026,270.0,top
R114,119.724,-67.026,270.0,top
R115,128.614,-67.026,270.0,top
R116,130.392,-67.026,270.0,top
R117,56.73,-32.23,0.0,top
R118,56.732,-33.246,180.0,top
R119,102.96,-18.768,90.0,top
R12,106.008,-102.08,0.0,top
R120,87.847,-44.132,0.0,top
R121,87.847,-45.91,180.0,top
R122,19.6988,-86.1288,270.0,top
R123,23.6104,-86.1288,270.0,top
R124,23.6104,-78.331,270.0,top
R125,19.6988,-78.331,270.0,top
R126,23.6104,-70.584,270.0,top
R127,19.6988,-70.584,270.0,top
R128,23.6104,-62.837,270.0,top
R129,19.6988,-62.837,270.0,top
R13,106.008,-96.492,0.0,top
R130,87.847,-49.502,0.0,top
R131,87.847,-47.724,180.0,top
R132,108.04,-42.644,270.0,top
R133,111.342,-42.616921,270.0,top
R134,106.389,-45.819,90.0,top
R135,109.691,-45.819,90.0,top
R136,79.592,-69.568,180.0,top
R137,79.338,-39.469,0.0,top
R138,54.827,-67.917,0.0,top
R139,58.764,-30.706,180.0,top
R14,106.008,-103.096,0.0,top
R140,105.881,-18.768,270.0,top
R141,60.288,-9.116,90.0,top
R142,93.562,-33.627,0.0,top
R143,93.562,-36.167,0.0,top
R144,69.811,-8.862,180.0,top
R145,69.811,-9.878,180.0,top
R146,64.606,-18.006,0.0,top
R147,62.572,-18.006,0.0,top
R148,60.669,-11.783,180.0,top
R149,60.669,-13.434,0.0,top
R15,104.611,-94.46,270.0,top
R150,69.811,-10.894,180.0,top
R151,69.811,-11.91,180.0,top
R152,69.811,-12.926,180.0,top
R153,55.589,-110.462,90.0,top
R154,56.859,-110.462,90.0,top
R16,104.611,-104.62,90.0,top
R17,101.563,-93.952,0.0,top
R18,101.563,-105.128,0.0,top
R19,101.563,-94.968,0.0,top
R2,63.336,-46.835,90.0,top
R20,101.563,-104.112,0.0,top
R21,98.007,-42.644,270.0,top
R22,104.611,-42.644,270.0,top
R23,101.309,-42.644,270.0,top
R24,94.705,-42.6185,270.0,top
R25,114.009,-22.451,180.0,top
R26,38.317,-59.662,270.0,top
R27,96.356,-45.819,90.0,top
R28,102.96,-45.819,90.0,top
R29,99.658,-45.819,90.0,top
R3,56.097,-63.98,180.0,top
R30,93.054,-45.819,90.0,top
R31,44.921,-59.662,270.0,top
R32,39.968,-59.662,270.0,top
R33,46.572,-59.662,270.0,top
R34,41.619,-59.662,270.0,top
R35,43.27,-59.662,270.0,top
R36,48.223,-59.662,270.0,top
R37,49.874,-59.662,270.0,top
R38,12.409,-78.712,0.0,top
R39,12.409,-80.744,0.0,top
R4,114.009,-21.308,180.0,top
R40,12.409,-82.776,0.0,top
R41,12.409,-84.808,0.0,top
R42,12.409,-86.84,0.0,top
R43,12.409,-88.872,0.0,top
R44,12.409,-90.904,0.0,top
R45,12.409,-92.936,0.0,top
R46,12.409,-94.968,0.0,top
R47,12.409,-97.0,0.0,top
R48,121.502,-67.026,270.0,top
R49,109.564,-68.171,180.0,top
R5,67.527,-63.726,90.0,top
R50,109.564,-66.647,180.0,top
R51,109.564,-65.123,180.0,top
R52,106.516,-64.361,180.0,top
R53,93.943,-69.568,225.0,top
R54,95.467,-70.584,225.0,top
R55,92.419,-68.044,225.0,top
R56,86.831,-73.124,315.0,top
R57,95.975,-67.536,225.0,top
R58,95.975,-71.6,45.0,top
R59,94.451,-66.012,225.0,top
R6,68.67,-63.726,90.0,top
R60,86.069,-73.886,135.0,top
R61,110.199,-88.11,0.0,top
R62,110.199,-87.094,0.0,top
R63,110.199,-86.078,0.0,top
R64,110.199,-85.062,0.0,top
R65,92.673,-96.238,0.0,top
R66,98.134,-94.079,270.0,top
R67,90.26,-88.745,90.0,top
R68,91.403,-88.745,90.0,top
R69,91.403,-94.46,270.0,top
R7,86.196,-20.578,0.0,top
R70,98.642,-92.047,180.0,top
R71,90.26,-90.777,90.0,top
R72,91.403,-90.777,90.0,top
R73,110.199,-84.046,0.0,top
R74,108.167,-84.046,180.0,top
R75,109.691,-74.902,90.0,top
R76,109.691,-76.934,90.0,top
R77,93.689,-86.078,270.0,top
R78,100.801,-85.57,270.0,top
R79,92.673,-79.728,270.0,top
R8,89.371,-20.578,0.0,top
R80,93.689,-79.728,270.0,top
R81,93.181,-84.554,0.0,top
R82,101.309,-84.046,180.0,top
R83,91.657,-79.728,90.0,top
R84,95.213,-78.966,180.0,top
R85,109.691,-72.87,0.0,top
R86,109.691,-71.854,0.0,top
R87,109.691,-70.838,0.0,top
R88,109.691,-69.822,0.0,top
R89,105.373,-77.442,180.0,top
R9,106.008,-98.524,0.0,top
R90,105.373,-73.886,180.0,top
R91,88.863,-77.696,315.0,top
R92,95.213,-77.95,0.0,top
R93,106.135,-76.426,180.0,top
R94,107.913,-73.886,180.0,top
R95,87.466,-76.299,315.0,top
R96,95.213,-76.934,180.0,top
R97,80.1,-75.57599,180.0,top
R98,80.1,-74.43299,180.0,top
R99,83.783,-97.254,0.0,top
RN1,106.389,-67.028,180.0,top
RN10,121.794,-40.728,90.0,top
RN11,117.984,-40.728,90.0,top
RN12,121.794,-37.172,90.0,top
RN13,117.984,-37.172,90.0,top
RN14,36.793,-76.426,180.0,top
RN15,36.793,-71.346,180.0,top
RN2,106.897,-86.586,180.0,top
RN3,109.183,-81.506,180.0,top
RN4,106.389,-71.346,180.0,top
RN5,35.269,-94.714,0.0,top
RN6,31.205,-94.714,180.0,top
RN7,35.269,-98.524,0.0,top
RN8,31.205,-98.524,180.0,top
RN9,35.269,-102.461,180.0,top
SW1,39.206,-81.633,0.0,top
SW2,39.206,-88.237,180.0,top
U1,95.2405,-24.09,0.0,top
U10,99.4019,-50.1828,0.0,top
U11,82.64,-45.021,270.0,top
U12,119.762,-29.171,180.0,top
U13,103.849,-50.137,0.0,top
U14,108.929,-50.137,0.0,top
U15,108.929,-54.455,0.0,top
U16,91.403,-72.87,135.0,top
U17,99.531,-67.028,180.0,top
U18,94.705,-91.666,90.0,top
U19,99.531,-89.634,180.0,top
U2,82.64,-48.613,90.0,top
U20,97.245,-83.538,90.0,top
U21,102.325,-81.506,180.0,top
U22,100.293,-76.426,180.0,top
U23,99.531,-71.346,180.0,top
U24,85.561,-94.333,315.0,top
U25,81.624,-72.14699,270.0,top
U26,66.755,-86.762,135.0,top
U27,32.1195,-110.335,180.0,top
U28,120.74,-47.089,90.0,top
U3,60.923,-62.71,0.0,top
U30,9.8205,-78.712,0.0,top
U31,9.8205,-80.744,0.0,top
U32,9.8205,-82.776,0.0,top
U33,9.8205,-84.808,0.0,top
U35,9.822,-94.968,0.0,top
U36,54.065,-25.626,180.0,top
U37,9.822,-97.0,0.0,top
U38,6.44,-94.968,0.0,top
U39,6.44,-78.712,0.0,top
U4,74.512,-68.044,0.0,top
U40,6.44,-80.744,0.0,top
U41,29.681,-88.11,180.0,top
U42,29.681,-80.998,180.0,top
U43,29.681,-73.886,180.0,top
U44,29.681,-66.774,180.0,top
U45,6.44,-82.776,0.0,top
U46,6.44,-84.808,0.0,top
U47,10.201,-49.75,0.0,top
U48,10.201,-40.86,0.0,top
U49,10.201,-31.97,0.0,top
U5,59.907,-69.441,180.0,top
U50,10.201,-23.08,0.0,top
U55,9.822,-86.84,0.0,top
U56,9.822,-88.872,0.0,top
U57,9.822,-90.904,0.0,top
U58,9.822,-92.936,0.0,top
U59,6.44,-97.0,0.0,top
U6,77.179,-61.44,180.0,top
U60,10.201,-58.64,0.0,top
U61,10.201,-67.53,0.0,top
U63,6.44,-86.84,0.0,top
U64,6.44,-88.872,0.0,top
U65,6.44,-90.904,0.0,top
U66,6.44,-92.936,0.0,top
U67,35.347,-23.08,0.0,top
U68,35.347,-31.97,0.0,top
U69,35.347,-40.86,0.0,top
U7,102.071,-99.54,270.0,top
U70,35.347,-49.75,0.0,top
U71,121.502,-64.486,270.0,top
U72,38.317,-62.456,90.0,top
U74,123.28,-64.486,270.0,top
U75,44.921,-62.456,90.0,top
U77,125.058,-64.486,270.0,top
U78,39.968,-62.456,90.0,top
U8,116.168,-106.398,270.0,top
U80,126.836,-64.486,270.0,top
U81,46.572,-62.456,90.0,top
U83,117.946,-64.486,270.0,top
U84,41.619,-62.456,90.0,top
U86,119.724,-64.486,270.0,top
U87,43.27,-62.456,90.0,top
U89,128.614,-64.486,270.0,top
U9,103.849,-54.455,0.0,top
U90,48.223,-62.456,90.0,top
U92,130.392,-64.486,270.0,top
U93,49.874,-62.456,90.0,top
Y1,79.084,-100.048,315.0,top
